th	15728
he	12884
er	11151
ou	10058
in	9778
re	9330
an	8414
en	8381
to	7806
on	7656
ha	7340
es	7028
ea	6784
ve	6572
is	6528
ed	6504
it	6372
ti	6337
nd	6300
at	6119
nt	6109
st	6023
et	6015
yo	5775
te	5663
me	5474
or	5474
se	5440
hi	5208
as	5021
no	4721
de	4547
ng	4510
le	4432
ot	4190
of	4172
si	3877
ce	3835
ar	3820
ll	3753
ne	3724
ei	3688
ur	3685
tt	3667
al	3648
em	3552
ri	3530
di	3506
ta	3462
ho	3458
om	3456
sh	3433
be	3408
el	3376
ec	3313
so	3245
co	3205
rt	3147
wi	3116
ss	3109
ma	3075
ro	2982
wh	2930
sa	2831
ut	2783
my	2743
ch	2698
fo	2651
li	2643
us	2640
ra	2628
da	2626
ic	2617
io	2596
il	2573
ev	2572
nc	2529
ul	2518
ad	2438
ns	2365
ee	2304
ly	2299
ow	2222
ew	2219
dt	2218
av	2215
im	2163
mo	2108
rs	2085
os	2071
ni	2047
ld	2039
ie	2036
eo	2016
pr	2002
lo	1945
wa	1927
do	1925
la	1913
am	1883
pe	1879
ef	1841
un	1837
ep	1785
na	1748
id	1725
ts	1725
ai	1716
fi	1700
su	1683
ca	1672
wo	1623
tr	1607
ac	1600
ge	1589
we	1569
ct	1556
mi	1554
ir	1551
ty	1538
ey	1517
ht	1488
eh	1480
ft	1473
tw	1470
ay	1442
yt	1425
ol	1423
ry	1397
gh	1390
bu	1376
iv	1371
if	1341
fr	1329
bl	1310
rm	1309
ap	1269
tu	1264
ny	1249
ys	1229
po	1193
ia	1186
ov	1172
oo	1169
ob	1167
pa	1161
vi	1151
fe	1148
fa	1143
gi	1128
uc	1125
ds	1122
rd	1114
ya	1107
sw	1089
pl	1086
sp	1083
tl	1072
ke	1069
op	1062
tm	1033
sc	1015
lt	1001
ig	996
ab	981
eb	955
pp	945
ag	933
ak	930
ff	930
rc	924
ga	922
mu	903
dw	881
dm	877
sm	866
mp	856
yi	837
ua	834
gt	822
dh	821
od	819
gr	810
dn	793
ci	791
db	787
ex	787
iw	783
ui	779
va	773
ye	773
rr	768
tb	757
sn	756
lf	753
nl	749
ih	734
oc	733
ug	730
nf	727
rh	722
um	701
rn	693
eg	687
oa	686
ue	685
oi	678
go	661
dy	660
up	651
pi	644
yw	641
af	637
qu	636
ls	623
ru	617
rw	613
oy	612
nh	608
au	603
nw	601
eu	597
rf	596
nm	593
vo	585
kn	582
lm	581
fu	578
sy	577
uw	577
yd	576
sf	571
ib	560
tf	556
by	553
rv	550
ym	536
oh	529
nk	517
td	517
ud	509
tc	505
yh	501
sb	500
cu	496
dr	496
rl	493
ub	492
cr	481
du	479
sl	468
nn	467
pt	466
rp	465
mt	464
mm	453
yc	453
ki	452
ms	452
cc	450
fm	447
tn	447
fl	445
hy	444
yf	440
sd	431
cl	428
df	426
fy	423
dd	415
tp	414
aw	410
gu	401
rg	394
nb	393
rb	385
bo	384
ip	378
wn	373
pu	369
hm	368
mb	366
yp	361
ba	355
lb	355
ok	350
lu	349
hu	348
yb	346
fh	337
yl	334
gm	332
eq	331
ln	330
nv	329
og	329
xp	328
wr	322
yr	322
oe	317
lw	315
uf	311
hs	300
gl	299
br	293
fs	292
je	291
sr	280
uh	272
dc	268
gs	265
ju	265
ck	261
dl	261
ps	261
bs	259
dg	256
dv	256
dp	248
py	246
hw	244
hh	239
tg	237
rk	236
nu	229
wt	224
gy	210
np	210
fw	207
ks	207
lh	204
hr	200
lp	198
bt	192
ii	191
gn	189
ik	189
yy	186
lr	181
ph	175
ws	174
kt	168
nr	166
gw	162
yn	162
mw	161
xi	161
sg	160
yg	158
ah	157
lv	157
mh	154
ww	152
md	151
gf	148
lc	148
uo	147
mn	144
xc	143
ko	141
fc	137
sk	136
sv	133
oj	132
bi	130
bj	130
nj	130
ek	128
tk	128
hf	126
jo	126
xt	126
wm	124
cy	122
lg	122
fb	119
gb	116
fp	114
yu	112
xe	110
xx	110
ej	109
fd	109
tv	101
ka	100
mr	98
ix	90
hd	88
hp	87
mf	86
xa	86
cq	85
nq	82
hb	80
gd	79
lk	79
hc	78
kw	78
pw	76
gg	75
yv	75
mc	74
gc	71
hl	71
uk	71
km	70
wy	70
fn	69
uy	68
wl	66
ze	66
wd	62
ao	60
fg	60
gp	57
iu	57
ky	56
hn	53
hg	52
wf	52
lx	50
rx	50
xv	50
kh	48
wb	48
cw	46
fv	46
cx	45
kf	42
bm	40
mv	39
sj	39
iz	38
wc	38
yk	38
ml	36
yj	34
aa	32
mg	32
pm	31
sq	31
kp	30
ez	29
dk	28
kb	28
uv	28
oq	27
ox	26
xh	26
hv	25
wp	25
rj	23
xl	23
az	22
kl	22
nx	22
pf	22
vl	21
vr	21
wk	21
zi	21
cs	20
dj	20
ax	19
cd	19
kc	19
wg	19
cp	17
fk	16
ku	16
uu	16
aq	15
bb	15
fj	14
gv	14
vt	14
aj	13
iq	13
tj	13
wv	13
zv	13
cv	11
ij	11
tq	11
wu	10
xm	10
yq	10
gk	9
kd	9
nz	9
pb	9
rq	9
vv	9
xw	9
iy	8
vy	8
zy	8
bd	7
dq	7
vc	7
vm	7
vu	7
cf	6
pd	6
xo	6
yz	6
za	6
hk	5
lj	5
mj	5
uj	5
vd	5
ae	4
cb	4
ja	4
jj	4
jr	4
mq	4
pc	4
pn	4
rz	4
tz	4
ux	4
xf	4
bh	3
bn	3
bp	3
bw	3
gj	3
hj	3
pg	3
uz	3
xu	3
zo	3
zz	3
cn	2
kq	2
kr	2
kv	2
pq	2
pv	2
sz	2
vb	2
vs	2
xb	2
xd	2
xq	2
xs	2
xy	2
bf	1
bk	1
bv	1
cm	1
dx	1
dz	1
fq	1
gq	1
kj	1
lq	1
mk	1
oz	1
sx	1
tx	1
uq	1
wq	1
xn	1
xr	1
yx	1
zd	1
zl	1
